R, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
2.2169999999999996,11181,1480,0.7515428066253662,0.6955549716949463,0.6701547503471375,0.4353814423084259
2.956,16673,1252,0.7825826406478882,0.6659269332885742,0.5889762043952942,0.42523840069770813
3.695,23860,1033,0.7963956594467163,0.6536462903022766,0.49467727541923523,0.40754401683807373
4.0645,27634,907,0.8007888793945312,0.634001612663269,0.4341029226779938,0.408771812915802
4.433999999999999,31516,796,0.7970871925354004,0.6323137283325195,0.39351439476013184,0.39345094561576843
4.6556999999999995,33462,727,0.7967545390129089,0.6284741163253784,0.37254199385643005,0.38861992955207825
4.8035,34979,666,0.7966780066490173,0.6268618106842041,0.3594156503677368,0.38411617279052734
5.172999999999999,39124,525,0.7946017980575562,0.6145077347755432,0.32136285305023193,0.37197116017341614
5.912,48468,263,0.7779566049575806,0.5935049653053284,0.25295040011405945,0.33306512236595154
6.651,57666,73,0.7511878609657288,0.5852321982383728,0.2085457593202591,0.29651787877082825
7.39,63274,6,0.7245314121246338,0.5772829055786133,0.1726933717727661,0.2784714102745056
9.237499999999999,64909,0,0.6932936906814575,0.5745274424552917,0.13403379917144775,0.2577608525753021
11.084999999999999,64919,0,0.6834979057312012,0.5750705003738403,0.12318427860736847,0.2510051131248474
14.78,64920,0,0.6819469928741455,0.5752464532852173,0.12207332253456116,0.24981515109539032
18.474999999999998,64920,0,0.6819469928741455,0.5752464532852173,0.12207332253456116,0.24981515109539032
