
cncvae, 0.4943181818181818, 0.3409090909090909, 0.3952020202020202, 0.3611111111111111, 1.0, 0.33080808080808083
cncvae, 0.5031565656565656, 0.37626262626262624, 0.6256313131313131, 0.3661616161616162, 0.9993686868686869, 0.4116161616161616
cncvae, 0.6647727272727273, 0.5909090909090909, 0.7613636363636364, 0.41414141414141414, 1.0, 0.6161616161616161
cncvae, 0.4810606060606061, 0.38636363636363635, 0.6957070707070707, 0.3813131313131313, 1.0, 0.3611111111111111
cncvae, 0.49936868686868685, 0.4722222222222222, 0.7316919191919192, 0.4671717171717172, 1.0, 0.47474747474747475
cncvae, 0.2474747474747475, 0.2474747474747475, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
cncvae, 0.3630050505050505, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
cncvae, 0.3630050505050505, 0.35858585858585856, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
cncvae, 0.4633838383838384, 0.351010101010101, 0.8876262626262627, 0.37626262626262624, 1.0, 0.37373737373737376
cncvae, 0.4532828282828283, 0.4292929292929293, 0.44065656565656564, 0.41919191919191917, 1.0, 0.398989898989899
cncvae, 0.6313131313131313, 0.6540404040404041, 0.7910353535353535, 0.696969696969697, 1.0, 0.6717171717171717
cncvae, 0.6047979797979798, 0.6111111111111112, 0.7184343434343434, 0.6818181818181818, 0.9993686868686869, 0.6717171717171717
cncvae, 0.6717171717171717, 0.6186868686868687, 0.8623737373737373, 0.7424242424242424, 1.0, 0.6464646464646465
cncvae, Clin+mRNA, ER, 1, kl,0.8882575757575758, 0.9040404040404041, 0.9217171717171717, 0.9419191919191919, 0.9993686868686869, 0.9368686868686869
cncvae, Clin+mRNA, ER, 1, mmd,0.9109848484848485, 0.9191919191919192, 0.9583333333333334, 0.952020202020202, 1.0, 0.946969696969697
cncvae, Clin+mRNA, ER, 2, kl,0.8529040404040404, 0.7676767676767676, 0.9381313131313131, 0.9217171717171717, 0.9987373737373737, 0.9090909090909091
cncvae, Clin+mRNA, ER, 2, mmd,0.9147727272727273, 0.8585858585858586, 0.9627525252525253, 0.9141414141414141, 0.9993686868686869, 0.898989898989899
cncvae, Clin+mRNA, ER, 3, kl,0.8945707070707071, 0.8762626262626263, 0.9375, 0.9393939393939394, 0.9987373737373737, 0.9343434343434344
cncvae, Clin+mRNA, ER, 3, mmd,0.913510101010101, 0.9015151515151515, 0.9577020202020202, 0.9393939393939394, 0.9993686868686869, 0.9242424242424242
cncvae, Clin+mRNA, ER, 4, kl,0.8794191919191919, 0.8434343434343434, 0.9255050505050505, 0.9141414141414141, 1.0, 0.898989898989899
cncvae, Clin+mRNA, ER, 4, mmd,0.9160353535353535, 0.8813131313131313, 0.9577020202020202, 0.9217171717171717, 1.0, 0.9116161616161617
cncvae, Clin+mRNA, ER, 5, kl,0.8731060606060606, 0.8914141414141414, 0.9343434343434344, 0.9419191919191919, 0.9993686868686869, 0.9191919191919192
cncvae, Clin+mRNA, ER, 5, mmd,0.9090909090909091, 0.9040404040404041, 0.94760101010101, 0.9545454545454546, 1.0, 0.9141414141414141
cncvae, Clin+mRNA, DR, 1, kl,0.6117424242424242, 0.5328282828282829, 0.6957070707070707, 0.696969696969697, 0.9993686868686869, 0.6565656565656566
cncvae, Clin+mRNA, DR, 1, mmd,0.6407828282828283, 0.5757575757575758, 0.7026515151515151, 0.6919191919191919, 1.0, 0.6464646464646465
